tavg,prcp,snow,year,month,day,hour,wind,wind_flag
22.1,1,0,2020,9,1,0,17.950000000000003,0
23.0,1,0,2020,9,2,0,26.1,0
23.5,1,0,2020,9,3,0,22.25,0
24.0,1,0,2020,9,4,0,20.6,0
23.9,1,0,2020,9,5,0,19.85,0
24.5,1,0,2020,9,6,0,22.45,0
20.0,1,0,2020,9,7,0,25.45,0
20.5,1,0,2020,9,8,0,29.15,0
20.2,1,0,2020,9,9,0,22.85,0
20.9,1,0,2020,9,10,0,23.45,0
23.5,1,0,2020,9,11,0,19.0,0
24.1,1,0,2020,9,12,0,18.75,0
24.5,1,0,2020,9,13,0,18.4,0
23.4,1,0,2020,9,14,0,17.2,0
23.6,1,0,2020,9,15,0,22.45,0
23.9,1,0,2020,9,16,0,19.35,0
23.9,1,0,2020,9,17,0,22.4,0
22.8,1,0,2020,9,18,0,17.5,0
23.2,1,0,2020,9,19,0,23.099999999999998,0
23.1,1,0,2020,9,20,0,24.5,0
21.9,1,0,2020,9,21,0,17.8,0
21.9,1,0,2020,9,22,0,20.6,0
22.3,1,0,2020,9,23,0,27.15,0
22.7,1,0,2020,9,24,0,31.35,1
19.8,1,0,2020,9,25,0,57.650000000000006,1
17.6,1,0,2020,9,26,0,31.200000000000003,1
17.3,1,0,2020,9,27,0,26.75,0
17.8,1,0,2020,9,28,0,23.95,0
18.8,1,0,2020,9,29,0,21.5,0
18.8,1,0,2020,9,30,0,23.95,0
20.6,1,0,2020,10,1,0,24.95,0
17.4,1,0,2020,10,2,0,35.65,1
16.0,1,0,2020,10,3,0,49.95,1
16.7,1,0,2020,10,4,0,37.2,1
16.4,1,0,2020,10,5,0,21.15,0
17.9,1,0,2020,10,6,0,32.099999999999994,1
20.6,1,0,2020,10,7,0,20.5,0
20.2,1,0,2020,10,8,0,23.400000000000002,0
20.1,1,0,2020,10,9,0,21.0,0
18.3,1,0,2020,10,10,0,20.65,0
16.2,1,0,2020,10,11,0,23.15,0
16.6,1,0,2020,10,12,0,25.150000000000002,0
16.4,1,0,2020,10,13,0,19.85,0
14.7,1,0,2020,10,14,0,19.5,0
12.6,1,0,2020,10,15,0,22.6,0
12.5,1,0,2020,10,16,0,25.650000000000002,0
12.9,1,0,2020,10,17,0,24.45,0
14.1,1,0,2020,10,18,0,22.8,0
15.7,1,0,2020,10,19,0,21.25,0
18.7,1,0,2020,10,20,0,27.799999999999997,0
20.9,1,0,2020,10,21,0,23.8,0
19.4,1,0,2020,10,22,0,25.3,0
19.1,1,0,2020,10,23,0,28.55,0
16.3,1,0,2020,10,24,0,30.7,1
17.0,1,0,2020,10,25,0,34.7,1
16.3,1,0,2020,10,26,0,23.2,0
14.4,1,0,2020,10,27,0,20.450000000000003,0
15.2,1,0,2020,10,28,0,23.65,0
16.0,1,0,2020,10,29,0,20.9,0
15.7,1,0,2020,10,30,0,20.35,0
15.8,1,0,2020,10,31,0,24.4,0
16.1,1,0,2020,11,1,0,22.55,0
16.7,1,0,2020,11,2,0,26.6,0
17.8,1,0,2020,11,3,0,16.85,0
13.3,1,0,2020,11,4,0,25.5,0
15.3,1,0,2020,11,5,0,38.25,1
18.2,1,0,2020,11,6,0,41.4,1
17.6,1,0,2020,11,7,0,36.7,1
15.1,1,0,2020,11,8,0,16.5,0
14.3,1,0,2020,11,9,0,18.25,0
14.7,1,0,2020,11,10,0,20.3,0
14.6,1,0,2020,11,11,0,25.8,0
14.3,1,0,2020,11,12,0,17.55,0
14.6,1,0,2020,11,13,0,19.7,0
15.1,1,0,2020,11,14,0,20.049999999999997,0
16.6,1,0,2020,11,15,0,29.2,0
17.1,1,0,2020,11,16,0,16.35,0
14.4,1,0,2020,11,17,0,19.1,0
13.8,1,0,2020,11,18,0,19.25,0
14.8,1,0,2020,11,19,0,22.25,0
12.4,1,0,2020,11,20,0,21.450000000000003,0
9.9,1,0,2020,11,21,0,23.3,0
9.5,1,0,2020,11,22,0,20.75,0
10.7,1,0,2020,11,23,0,22.0,0
